                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4998,                 4.3462,                 1.1905,                0.79755,                0.53571,                0.62579,                0.36236,                 1.5039,                 2.3151,                 1.1862,                 0.0005,                 0.0005,                 0.0005
                      2,                  1.429,                 1.5769,                 1.1418,                0.85899,                  0.625,                0.71439,                0.37182,                 1.5364,                 2.3896,                 1.2827,             0.00098634,             0.00098634,             0.00098634
                      3,                 1.3651,                 1.4273,                 1.1829,                0.43863,                0.25119,                0.27291,                0.16253,                 1.7495,                 4.0234,                 1.5021,              0.0014384,              0.0014384,              0.0014384
                      4,                 1.4208,                 1.4626,                 1.1833,                0.80156,                0.51786,                0.62141,                0.36283,                 1.6621,                  1.594,                 1.3394,               0.001802,               0.001802,               0.001802
                      5,                 1.4792,                   1.32,                 1.1597,                0.87373,                0.49436,                 0.5839,                0.34915,                 1.7036,                 1.6846,                 1.3234,               0.001736,               0.001736,               0.001736
                      6,                 1.3935,                  1.075,                 1.1502,                0.75514,                0.60714,                0.62659,                0.35617,                 1.5717,                  1.474,                 1.3051,                0.00167,                0.00167,                0.00167
                      7,                 1.4265,                  1.065,                 1.1989,                0.89487,                0.76007,                0.81349,                0.50071,                 1.4847,                 1.3845,                 1.2356,               0.001604,               0.001604,               0.001604
                      8,                 1.3885,                0.93852,                 1.1504,                0.07509,                0.58929,                0.05786,                0.03524,                 1.3856,                 4.9164,                 1.1831,               0.001538,               0.001538,               0.001538
                      9,                   1.29,                0.88948,                 1.1426,                0.96351,                0.71429,                0.80162,                0.47192,                 1.3869,                 1.1247,                 1.2282,               0.001472,               0.001472,               0.001472
                     10,                 1.2994,                0.87106,                 1.1448,                0.80454,                0.73214,                0.79473,                0.48146,                 1.3723,                 1.0198,                 1.2176,               0.001406,               0.001406,               0.001406
                     11,                 1.2476,                0.87996,                 1.1338,                0.84669,                0.78898,                0.86579,                0.50773,                 1.2715,                0.94058,                 1.1646,                0.00134,                0.00134,                0.00134
                     12,                 1.3114,                0.84035,                 1.1132,                0.92265,                0.78571,                0.86914,                0.50524,                 1.3279,                0.91235,                 1.1667,               0.001274,               0.001274,               0.001274
                     13,                  1.163,                0.81925,                 1.0903,                0.84747,                0.82143,                0.87573,                0.55631,                  1.272,                0.84557,                 1.1538,               0.001208,               0.001208,               0.001208
                     14,                 1.2146,                0.82616,                 1.1339,                0.91374,                0.78571,                0.87209,                0.54377,                 1.2604,                0.87275,                 1.1265,               0.001142,               0.001142,               0.001142
                     15,                 1.1413,                0.79242,                 1.0897,                 0.9514,                0.73214,                0.81792,                0.50727,                 1.2369,                0.99801,                 1.1329,               0.001076,               0.001076,               0.001076
                     16,                 1.2114,                0.79562,                 1.0879,                0.88298,                0.82143,                0.87264,                0.52108,                 1.3287,                0.91923,                 1.1644,                0.00101,                0.00101,                0.00101
                     17,                 1.1238,                0.73689,                 1.0538,                0.87154,                0.80357,                 0.8848,                0.55025,                 1.2261,                0.90933,                 1.1015,               0.000944,               0.000944,               0.000944
                     18,                 1.0735,                0.69657,                  1.051,                0.90499,                0.85051,                 0.9065,                0.56634,                 1.2649,                0.81839,                 1.1246,               0.000878,               0.000878,               0.000878
                     19,                 1.0738,                0.68461,                 1.0462,                0.97158,                0.78571,                0.90887,                0.58044,                 1.2854,                0.83339,                  1.146,               0.000812,               0.000812,               0.000812
                     20,                 1.1082,                0.70521,                 1.0489,                0.98193,                0.78571,                0.90499,                0.59636,                 1.2582,                0.81221,                 1.1213,               0.000746,               0.000746,               0.000746
                     21,                 1.0711,                0.68065,                 1.0751,                0.88394,                0.81606,                0.88785,                0.57249,                 1.2333,                0.84959,                 1.0773,                0.00068,                0.00068,                0.00068
                     22,                 1.0718,                0.65632,                 1.0302,                0.83716,                0.82629,                0.90485,                0.56266,                 1.2622,                0.75464,                 1.1435,               0.000614,               0.000614,               0.000614
                     23,                 1.0358,                0.64639,                 1.0314,                0.91875,                0.80778,                0.92199,                0.57487,                 1.2548,                0.68584,                 1.1324,               0.000548,               0.000548,               0.000548
                     24,                 1.0598,                 0.6742,                 1.0556,                0.90382,                0.83908,                0.88967,                0.57555,                 1.2559,                0.74071,                 1.1058,               0.000482,               0.000482,               0.000482
                     25,                 1.0098,                0.62316,                 1.0523,                 0.9362,                0.80357,                0.90702,                0.57222,                 1.1994,                 0.7097,                 1.1085,               0.000416,               0.000416,               0.000416
                     26,                 1.0012,                0.60788,                 1.0228,                0.90364,                0.83737,                0.91931,                0.60134,                 1.1641,                0.69406,                 1.0762,                0.00035,                0.00035,                0.00035
                     27,                0.99292,                0.60446,                 1.0217,                0.95823,                0.81932,                0.93035,                0.60602,                 1.1754,                0.68724,                 1.0826,               0.000284,               0.000284,               0.000284
                     28,                0.97106,                0.58447,                0.99413,                0.88256,                0.89286,                0.93742,                0.59812,                 1.1918,                0.67164,                 1.0866,               0.000218,               0.000218,               0.000218
                     29,                0.94571,                0.58506,                 1.0079,                0.95554,                  0.875,                0.94204,                0.60993,                 1.1987,                0.64475,                 1.0902,               0.000152,               0.000152,               0.000152
                     30,                0.93096,                0.57768,                  1.003,                0.97942,                0.85001,                0.95357,                0.61457,                  1.212,                0.63203,                 1.0935,                8.6e-05,                8.6e-05,                8.6e-05
